no,sekolah,latitude,longitude,nama_gambar
1,SDN Bandarharjo01,-6.96235549699609,110.42094479422,sdnbandarharjo01.jpg
2,SDN Bandarharjo02,-6.96317625568907,110.42197631787,sdnbandarharjo02.jpg
3,SDN Bangetayukulon,-6.98223975622446,110.47772846681,sdnbangetayukulon.jpg
4,SDN Bangetayuwetan01,-6.98284694134461,110.47812696063,sdnbangetayuwetan01.jpg
5,SDN Bangetayuwetan02,-6.98242821615654,110.48582654689,sdnbangetayuwetan02.jpg
6,SDN Bangunharjo,-6.97395668899234,110.42183346433,sdnbangunharjo.jpg
7,SDN Banyumanik01,-7.07752584394969,110.40860486059,sdnbanyumanik01.jpg
8,SDN Banyumanik02,-7.07953975505919,110.41518247063,sdnbanyumanik02.jpg
9,SDN Banyumanik03,-7.07743071203542,110.40760700453,sdnbanyumanik03.jpg
10,SDN Banyumanik04,-7.07595042442844,110.41464588216,sdnbanyumanik04.jpg
11,SDN Barusari01,-6.98543365968221,110.40758124176,sdnbarusari01.jpg
12,SDN Barusari02,-6.98892726084109,110.40615707032,sdnbarusari02.jpg
13,SDN Bendanngisor,-7.01522971860162,110.39430719296,sdnbendanngisor.jpg
14,SDN Bendungan,-6.99625915941259,110.41035426518,sdnbendungan.jpg
15,SDN Bojongsalaman01,-6.99150669557159,110.39955404599,sdnbojongsalaman01.jpg
16,SDN Bojongsalaman02,-6.98689904765318,110.39814475133,sdnbojongsalaman02.jpg
17,SDN Bringin01,-7.01121691309884,110.33043786899,sdnbringin01.jpg
18,SDN Bringin02,-6.99574042329026,110.33180548760,sdnbringin02.jpg
19,SDN Brumbungan,-6.98453447913888,110.42645330496,sdnbrumbungan.jpg
20,SDN Bubakan,-7.09150409138781,110.32000181266,sdnbubakan.jpg
21,SDN Bugangan01,-6.97444566278279,110.44025626034,sdnbugangan01.jpg
22,SDN Bugangan02,-6.97643111485744,110.44114608318,sdnbugangan02.jpg
23,SDN Bugangan03,-6.97054526291834,110.43799727785,sdnbugangan03.jpg
24,SDN Bululor,-6.97474753225628,110.40462936498,sdnbululor.jpg
25,SDN Bulusan,-7.06232177726694,110.44535005592,sdnbulusan.jpg
26,SDN Bulustalan,-6.99012283213793,110.40305025466,sdnbulustalan.jpg
27,SDN Candi01,-7.00789060061644,110.43216719994,sdncandi01.JPG
28,SDN Candi02,-7.01501013542151,110.42761452278,sdncandi02.JPG
29,SDN Candi03,-7.00886806769464,110.42964317163,sdncandi03.JPG
30,SDN Cangkiran01,-7.09003529033309,110.30783705741,sdncangkiran01.jpg
31,SDN Cangkiran02,-7.09527517150387,110.31346994563,sdncangkiran02.jpg
32,SDN Cepoko,-7.07313695221097,110.35260871053,sdncepoko.jpg
33,SDN Dadapsari,-6.96631307766634,110.41858777608,sdndadapsari.jpg
34,SDN Gabahan,-6.97905177245504,110.42549116842,sdngabahan.jpg
35,SDN Gajahmungkur01,-7.01163564659208,110.40972389002,sdngajahmungkur01.jpg
36,SDN Gajahmungkur02,-7.01353307744563,110.40558755109,sdngajahmungkur02.jpg
37,SDN Gajahmungkur03,-7.01194485544073,110.41068658233,sdngajahmungkur03.jpg
38,SDN Gajahmungkur04,-7.01884021146758,110.41579479248,sdngajahmungkur04.jpg
39,SDN Gayamsari01,-7.00223723154389,110.45162614435,sdngayamsari01.jpg
40,SDN Gayamsari02,-7.00105142684736,110.44703869133,sdngayamsari02.jpg
41,SDN Gebangsari01,-6.96460138824234,110.46927263907,sdngebangsari01.jpg
42,SDN Gebangsari02,-6.96490469598616,110.46269020026,sdngebangsari02.jpg
43,SDN Gebangsari03,-6.96958649799195,110.46746008368,sdngebangsari03.jpg
44,SDN Gedawang01,-7.08384846494358,110.42151384681,sdngedawang01.jpg
45,SDN Gedawang02,-7.08380277636408,110.42886327392,sdngedawang02.jpg
46,SDN Gemah,-7.00958797065731,110.46002845422,sdngemah.jpg
47,SDN Genuksari01,-6.95341432338532,110.47979969948,sdngenuksari01.jpg
48,SDN Genuksari02,-6.96531200129928,110.47806614623,sdngenuksari02.jpg
49,SDN Gisikdrono01,-6.98538171344385,110.38926924913,sdngisikdrono01.jpg
50,SDN Gisikdrono02,-6.99242957090913,110.38844201714,sdngisikdrono02.jpg
51,SDN Gisikdrono03,-6.99660809370362,110.38434010749,sdngisikdrono03.jpg
52,SDN Gondoriyo,-6.99181417292081,110.30706742810,sdngondoriyo.jpg
53,SDN Gunungpati01,-7.09029364510529,110.35330381647,sdngunungpati01.jpg
54,SDN Gunungpati02,-7.08228195839010,110.36301681005,sdngunungpati02.jpg
55,SDN Gunungpati03,-7.08700745147307,110.35958906985,sdngunungpati03.jpg
56,SDN Jabungan,-7.08286419350399,110.44887771184,sdnjabungan.jpg
57,SDN Jatibarang01,-7.05330437862309,110.33183655890,sdnjatibarang01.jpg
58,SDN Jatibarang02,-7.05164301255114,110.32755517752,sdnjatibarang02.jpg
59,SDN Jatibarang03,-7.06376333963775,110.33528253114,sdnjatibarang03.jpg
60,SDN Jatingaleh01,-7.02672317727527,110.42715735483,sdnjatingaleh01.jpg
61,SDN Jatingaleh02,-7.02865064709894,110.42048538917,sdnjatingaleh02.jpg
62,SDN Jatirejo,-7.06262512320842,110.34785224983,sdnjatirejo.jpg
63,SDN Jatisari,-7.07714290934779,110.30836532606,sdnjatisari.png
64,SDN Jomblang01,-7.01015875022879,110.43919750273,sdnjomblang01.png
65,SDN Jomblang02,-7.01086160815509,110.43538007666,sdnjomblang02.png
66,SDN Jomblang03,-7.01844299129840,110.43909187670,sdnjomblang03.png
67,SDN Jomblang04,-7.01894723428266,110.43937692441,sdnjomblang04.jpeg
68,SDN Jomblang05,-7.01205341379873,110.44326509268,sdnjomblang04.jpeg
69,SDN Kalibantengkidul01,-6.99036369724644,110.38519051907,sdnkalibantengkidul01.png
70,SDN Kalibantengkidul02,-6.99500471363543,110.38082327881,sdnkalibantengkidul01.png
71,SDN Kalibantengkidul03,-6.98666476163966,110.38327533960,sdnkalibantengkidul01.png
72,SDN Kalibantengkulon01,-6.98642019130658,110.37991662673,sdnkalibantengkulon01.png
73,SDN Kalibantengkulon02,-6.99191989729545,110.37900298002,sdnkalibantengkulon01.png
74,SDN Kalicari01,-6.99166487040219,110.45792488676,sdnkalibantengkulon01.png
75,SDN Kalicari02,-6.995754,110.455262,sdnkalicari02.png
76,SDN Kalicari03,-7.00519806466510,110.45464363619,sdnkalicari02.png
77,SDN Kaligawe,-6.96662905481365,110.44823136450,sdnkaligawe.png
78,SDN Kalipancur01,-7.01655053014993,110.37532585406,sdnkalipancur01.png
79,SDN Kalipancur02,-7.01648470666641,110.38725542536,sdnkalipancur02.png
80,SDN Kalisegoro,-7.06012143095532,110.38223483424,sdnkalisegoro.png
81,SDN Kaliwiru,-7.02060679198596,110.42312600158,sdnkaliwiru.png
82,SDN Kandri01,-7.05852806982669,110.35614839675,sdnkandri01.png
83,SDN Kandri02,-7.03955782112484,110.35402110684,sdnkandri02.png
84,SDN Karanganyar01,-6.97875461255230,110.33325566411,sdnkaranganyar01.png
85,SDN Karanganyar02,-6.97839130305291,110.33375706167,sdnkaranganyar02.png
86,SDN Karanganyargunung01,-7.01722346175995,110.43090198972,sdnkaranganyargunung01.png
87,SDN Karanganyargunung02,-7.02405177667377,110.42916720852,sdnkaranganyargunung02.png
88,SDN Karangayu01,-6.97547193005711,110.39262444078,sdnkarangayu01.png
89,SDN Karangayu02,-6.97934979325884,110.39381741601,sdnkarangayu02.png
90,SDN Karangayu03,-6.97572389108662,110.39286564470,sdnkarangayu03.png
91,SDN Karangkidul,-6.99261017014172,110.43042152762,sdnkarangkidul.png
92,SDN Karangmalang,-7.09577761300543,110.33267144913,sdnkarangmalang.png
93,SDN Karangrejo01,-7.02837401206784,110.41186887122,sdnkarangrejo1.png
94,SDN Karangrejo02,-7.02499262978958,110.41751412269,sdnkarangrejo02.png
95,SDN Karangrejo03,,,
96,SDN Karangroto01,-6.95855785730967,110.49379826021,sdnkarangroto01.png
97,SDN Karangroto02,-6.95875162383252,110.49418319344,sdnkarangroto02.png
98,SDN Karangroto03,-6.97384426281346,110.49457809341,sdnkarangroto03.png
99,SDN Karangroto04,-6.97399069194156,110.49508292419,sdnkarangroto04.png
100,SDN Karangtempel,-6.99262498820686,110.43848041047,sdnkarangtempel.png
101,SDN Kedungmundu,-7.01836954157422,110.46607318263,sdnkedungmundu.png
102,SDN Kedungpane01,-7.03019962128208,110.34272707260,sdnkedungpane01.png
103,SDN Kedungpane02,-7.04119012426892,110.33831721440,sdnkedungpane02.png
104,SDN Kembangarum01,-7.00437344670329,110.37945518001,sdnkembangarum01.png
105,SDN Kembangarum02,-6.98889509913791,110.37193210969,sdnkembangarum01.png
106,SDN Kembangarum03,-7.00207869738589,110.37794363540,sdnkembangarum01.png
107,SDN Kembangsari01,-6.97979024772941,110.41959063683,sdnkembangsari01.png
108,SDN Kembangsari02,-6.97996312486280,110.41779905219,sdnkembangsari01.png
109,SDN Kemijen01,-6.95344781900025,110.43643422789,sdnkemijen01.png
110,SDN Kemijen02,-6.95801279097463,110.43844544298,sdnkemijen01.png
111,SDN Kemijen03,-6.95691229991984,110.44076533440,sdnkemijen01.png
112,SDN Kemijen04,-6.95263004997939,110.43906104457,sdnkemijen04.png
113,SDN Kramas,-7.06824470232875,110.43633037733,sdnkramas.png
114,SDN Krapyak,-6.98322093054938,110.36786076042,sdnkrapyak.png
115,SDN Krobokan,-6.97853187336233,110.39893909739,sdnkrobokan.png
116,SDN Kuningan01,-6.96241441660143,110.41808581168,sdnkuningan01.png
117,SDN Kuningan02,-6.96441323126909,110.41560165202,sdnkuningan02.png
118,SDN Kuningan03,-6.95880117132497,110.41349048045,sdnkuningan03.png
119,SDN Kuningan04,-6.96481918652913,110.41832634591,sdnkuningan04.png
120,SDN Lamperkidul01,-7.00782782658003,110.44006422273,sdnlamperkidul01.png
121,SDN Lamperkidul02,-7.00818186865421,110.43613102419,sdnlamperkidul02.png
122,SDN Lamperlor,-7.00049228555160,110.43924802472,sdnlamperlor.png
123,SDN Lampertengah01,-7.00454061966811,110.44247235759,sdnlampertengah01.png
124,SDN Lampertengah02,-7.00505609539949,110.44701481360,sdnlampertengah02.png
125,SDN Lempongsari,-6.99625269748537,110.41321269098,sdnlempongsari.jpg
126,SDN Mangkangkulon01,-6.97296667062430,110.29697177964,sdnmangkangkulon01.jpg
127,SDN Mangkangkulon02,-6.97238221077438,110.29807625964,sdnmangkangkulon02.jpg
128,SDN Mangkangkulon03,-6.96725518420860,110.29860179496,sdnmangkangkulon03.jpg
129,SDN Mangkangwetan01,-6.95753605831853,110.31314514056,sdnmangkangwetan01.jpg
130,SDN Mangkangwetan02,-6.96977115245891,110.30585885263,sdnmangkangwetan02.jpg
131,SDN Mangkangwetan03,-6.97086021550814,110.30834695383,sdnmangkangwetan03.jpg
132,SDN Mangunharjo,-7.04441321321623,110.46007647000,sdnmangunharjo.jpg
133,SDN Mangunharjotembalang,-7.04435770766952,110.46005263907,sdnmangunharjotembalang.jpg
134,SDN Mangunharjotugu,-6.95849972682541,110.30405148431,sdnmangunharjotugu.jpg
135,SDN Mangunsari,-7.08268785569187,110.38700169551,sdnmangunsari.jpg
136,SDN Manyaran01,-6.99959643066570,110.38916121319,sdnmanyaran01.jpg
137,SDN Manyaran02,-6.99840700964796,110.38250622441,sdnmanyaran02.jpg
138,SDN Manyaran03,-7.00817980324191,110.38605608047,sdnmanyaran03.jpg
139,SDN Meteseh,-7.05837709969201,110.46283142709,sdnmeteseh.jpg
140,SDN Miroto,-6.98314629601388,110.41989431290,sdnmiroto.jpg
141,SDN Mlatiharjo01,-6.96392005667667,110.44141528759,sdnmlatiharjo01.jpg
142,SDN Mlatiharjo02,-6.96894828596646,110.43940177366,sdnmlatiharjo02.jpg
143,SDN Muktiharjokidul01,-6.97844104690350,110.45941053490,sdnmuktiharjokidul01.jpg
144,SDN Muktiharjokidul02,-6.97489942904163,110.46039488088,sdnmuktiharjokidul02.jpg
145,SDN Muktiharjokidul03,-6.97969922932344,110.46408644718,sdnmuktiharjokidul03.jpg
146,SDN Muktiharjokidul04,-6.97681521892185,110.46477059380,sdnmuktiharjokidul04.jpg
147,SDN Muktiharjolor,-6.96739670822386,110.45743863060,sdnmuktiharjolor.jpg
148,SDN Ngadirgo01,-7.05106443993697,110.31670556151,sdnngadirgo01.jpg
149,SDN Ngadirgo02,-7.02561968352162,110.31174932293,sdnngadirgo01.jpg
150,SDN Ngadirgo03,-7.05116173153945,110.31705006724,sdnngadirgo03.jpg
151,SDN Ngaliyan01,-6.99629239022895,110.34838921789,sdnngaliyan01.jpg
152,SDN Ngaliyan02,-7.00115303698140,110.36271960126,sdnngaliyan02.jpg
153,SDN Ngaliyan03,-6.99785749695209,110.34872582867,sdnngaliyan03.jpg
154,SDN Ngaliyan04,-7.02077340098214,110.35456188750,sdnngaliyan04.jpg
155,SDN Ngaliyan05,-7.00742671319429,110.33846289380,sdnngaliyan05.jpg
156,SDN Ngemplaksimongan01,-7.00059609092437,110.39367778926,sdnngemplaksimongan01.jpg
157,SDN Ngemplaksimongan02,-6.99652634071229,110.40032590484,sdnngemplaksimongan02.jpg
158,SDN Ngesrep01,-7.03431508320363,110.41833352078,sdnngesrep01.jpg
159,SDN Ngesrep02,-7.03290972355231,110.42403027774,sdnngesrep02.jpg
160,SDN Ngesrep03,-7.03491990766820,110.42969535760,sdnngesrep03.jpg
161,SDN Ngijo01,-7.06973878563989,110.38301666067,sdnngijo01.jpg
162,SDN Ngijo02,-7.07952629146689,110.37507662325,sdnngijo02.jpg
163,SDN Nongkosawit01,-7.06849765652496,110.36471282324,sdnnongkosawit01.jpg
164,SDN Nongkosawit02,-7.07067824567057,110.36937105087,sdnnongkosawit02.jpg
165,SDN Padangsari01,-7.07286783476406,110.43126314104,sdnpadangsari01.jpg
166,SDN Padangsari02,-7.07290872054207,110.42916243697,sdnpadangsari02.jpg
167,SDN Pakintelan01,-7.08911779181324,110.39621641159,sdnpakintelan01.jpg
168,SDN Pakintelan02,-7.09547195165447,110.39562367784,sdnpakintelan02.jpg
169,SDN Pakintelan03,-7.08725125717953,110.38844232324,sdnpakintelan03.jpg
170,SDN Palebon01,-7.00547537536269,110.46507827784,sdnpalebon01.jpg
171,SDN Palebon02,-7.00743791319814,110.47036849379,sdnpalebon02.jpg
172,SDN Palebon03,-7.00887391322226,110.46604308214,sdnpalebon03.jpg
173,SDN Pandeanlamper01,-7.00013398861596,110.44460365147,sdnpandeanlamper01.jpg
174,SDN Pandeanlamper02,-6.99324668171905,110.44265726435,sdnpandeanlamper02.jpg
175,SDN Pandeanlamper03,-6.99614606187166,110.44310429380,sdnpandeanlamper03.jpg
176,SDN Pandeanlamper04,-6.99564019298887,110.44551066435,sdnpandeanlamper04.jpg
177,SDN Pandeanlamper05,-6.99185745666096,110.44568624103,sdnpandeanlamper05.jpg
178,SDN Panggungkidul,-6.96542514799258,110.40914838035,sdnpanggulkidul.jpg
179,SDN Panggunglor,-6.95895605547323,110.40154672325,sdnpanggunglor.jpg
180,SDN Patemon01,-7.39835951295296,110.49047355270,sdnpatemon01.jpg
181,SDN Patemon02,-7.39830824169308,110.49134420546,sdnpatemon02.jpg
182,SDN Pedalangan01,-7.06500932384081,110.42838065269,sdnpedalangan01.jpg
183,SDN Pedalangan02,-7.05799781086319,110.43420635269,sdnpedalangan02.jpg
184,SDN Pedalangan03,-7.06184993886917,110.42371513723,sdnpedalangan03.jpg
185,SDN Pedurungankidul01,-7.01226425274544,110.47572975992,sdnpedurungankidul01.jpg
186,SDN Pedurungankidul02,-7.01682746531810,110.47230164103,sdnpedurungankidul02.jpg
187,SDN Pedurungankidul03,-7.02143502553210,110.47888713953,sdnpdurungankidul03.png
188,SDN Pedurungankidul04,-7.03517783959794,110.48221138926,sdnpdurungankidul04.png
189,SDN Pedurungankidul05,-7.01585886547663,110.47455355118,sdnpdurungankidul05.png
190,SDN Pedurunganlor01,-7.00932366865115,110.48809782604,sdnpedurunganlor01.png
191,SDN Pedurunganlor02,-7.00938216596874,110.47832938371,sdnpedurunganlor02.png
192,SDN Pedurungantengah01,-6.99657485888855,110.47355028926,sdnpedurungantengah01.png
193,SDN Pedurungantengah02,-7.00963402014559,110.47247907207,sdnpedurungantengah02.png
